#Size(bytes) MeanAllocTime(cycles) MeanFreeTime(cycles) MeanFreeTimeRFlag(cycles)
3158 2556.27 298.539 3011.21
3168 2506.25 286.936 3157.99
3178 2495.66 289.584 3237.53
3188 2567.38 291.444 3036.75
3198 2681.88 295.91 3026.35
3208 2538.09 289.696 3017.85
3218 2772.84 306.458 3118.98
3228 2557.12 289.912 3308.08
3238 2541.1 295.4 3290.97
3248 2543.65 294.736 3122.6
3258 2778.99 298.912 3121.95
3268 2657.48 344.704 3128.25
3278 2622.15 297.626 3406.57
3288 2668.3 305.304 3309.86
3298 2782.8 292.612 3134.55
3308 2743.49 312.589 3186.18
3318 2640.87 298.064 3341.09
3328 2681.82 306.112 3219.93
3338 2741.45 300.044 3150.39
3348 2828.43 299.718 3144.96
3358 2886.76 305.662 3239.19
3368 2850.52 303.83 3238.11
3378 2647.61 299.738 3465.86
3388 2680.9 305.014 3438.6
3398 2658.48 305.114 3457.51
3408 2697.41 314.142 3411
3418 2772.75 341.164 3568
3428 2956.68 304.49 3287.59
3438 2918.81 311.516 3274.08
3448 2722.25 307.208 3450.89
3458 2724.87 345.34 3292.89
3468 2710.23 444.328 3518.26
3478 2720.62 331.738 3270.93
3488 3066.05 368.832 3495.02
3498 2765.54 348.128 3363.11
3508 2886.06 335.74 3403.57
3518 2780.18 341.138 3364.08
3528 2894.27 334.168 3581.8
3538 2755.01 362.644 3473.01
3548 2974.53 336.08 3465.32
3558 2752.5 337.46 3383.05
3568 3008.73 342.89 3659.07
3578 2786.86 323.372 3424.47
3588 2980.45 353.647 3626.54
3598 2993.15 333.92 3387.39
3608 2776.25 311.312 3407.69
3618 3009.36 346.684 3632.77
3628 3143.97 350.81 3740.24
3638 3063.43 320.726 3623.88
3648 2833.93 351.508 3497.84
3658 3386.39 385.422 3525.24
3668 3020.78 366.37 3732.48
3678 2857.02 387.038 3530.13
3688 2999.27 379.058 3539.33
3698 2949.75 397.098 3748.47
3708 2872.79 343.964 3636.11
3718 2975.64 362.604 3747.64
3728 3060.81 355.086 3529.08
3738 2913.18 343.908 3639.69
3748 2991.63 344.128 3516.89
3758 3078.49 351.264 3823.92
3768 3194.25 397.518 3861.87
3778 3058.13 379.26 3873.98
3788 3007.49 420.618 3678.12
3798 3164.84 364.556 3769.33
3808 3017.69 359.104 3866.65
3818 2993.76 359.052 3692.28
3828 3181.87 361.75 3688.91
3838 3607.18 396.83 3963.95
3848 2970.8 417.2 3876.25
3858 3213.22 421.114 3705.2
3868 3360.63 400.302 3719.71
3878 3039.03 378.262 3924.83
3888 3725.11 454.888 3777.37
3898 3101.53 385.954 3853.98
3908 3280.16 496.267 3776.98
3918 3082.97 374.352 3968.45
3928 3085.79 367.84 4153.79
3938 3141.87 367.54 3945.33
3948 3108.25 374.746 3971.21
3958 3103.55 378.19 3931.86
3968 3105.62 403.966 3989.89
3978 3208 375.588 3986.21
3988 3133.06 370.834 3963.69
3998 3187.82 436.504 4077.51
4008 3232.46 433.997 3806.82
4018 3303.96 378.908 3814.67
4028 3168.05 450.996 4018.28
4038 3416.49 377.752 3971.28
4048 3346.4 373.072 3913.49
4058 3466.85 377.866 3914.19
4068 4063.69 440.976 3920.99
4078 3340.95 379.8 3953.25
4088 3361.01 427.532 4071.63
4098 3612.6 408.862 3889.39
4108 3493.26 387.154 3872.93
4118 3486.16 451.573 3949.42
4128 3150.19 369.316 4101.34
4138 3209.25 397.058 4114.37
4148 3218.65 373.686 4038.62
4158 3251.97 367.002 4022.72
4168 3147.38 391.262 4073.93
4178 3264.9 367.41 4100.84
4188 3329.08 364.13 4016.85
4198 3317.63 366.686 3907.11
4208 3368.35 374.256 3921.03
4218 3397.67 376.826 4217.9
4228 3377.36 378.214 4159.83
4238 3308.21 366.232 4149.31
4248 3349.56 380.474 4114.31
4258 3375.64 375.8 4056.26
4268 3245.61 375.936 3974.97
4278 3189.19 376.176 3894.47
4288 3332.38 389.732 3913.61
4298 3340.49 372.202 4163.45
4308 3465.63 383.074 4301.85
4318 3196.13 367.496 4164.59
4328 3456.24 373.21 4137.14
4338 3325.68 374.526 4093.1
4348 3170.45 369.926 4099.48
4358 3174.46 368.64 4127.73
4368 3272.65 411.992 4129.26
4378 3186.88 404.212 4123.62
4388 3240.52 368.98 4136.43
4398 3213.72 373.564 4081.96
4408 3152.67 371.774 4036.31
4418 3175.17 369.45 4038.55
4428 3325.82 386.426 3877.44
4438 3149.77 445.057 4076
4448 3158.05 375.224 3970.33
4458 3444.76 383.512 3899.87
4468 3327.1 472.297 4227.04
4478 3209.31 373.4 4134.6
4488 3211.16 373.718 4033.1
4498 3330.63 377.85 3911.33
4508 3345.22 381.528 4123.74
4518 3198.17 366.112 4191.75
4528 4078.75 485.028 4147.5
4538 3157.3 375.148 3836.89
4548 3330.03 407.006 3846.4
4558 3148.78 462.744 4297.95
4568 3232.05 377.352 4067.73
4578 3530.48 464.16 3820.08
4588 3403.51 391.186 3919.13
4598 3184.65 373.392 4072.16
4608 3156.85 371.638 3879.38
4618 3363 371.292 3930.81
4628 3193.07 372.064 4085.79
4638 3280.7 409.138 3904.08
4648 3377.15 422.99 3931.83
4658 3323.23 557.071 4078.76
4668 3247.3 388.714 4182.33
4678 3195.23 386.936 4147.47
4688 3809.64 488.982 3850.45
4698 3387.85 385.008 4010.37
4708 3248.62 474.704 4127.49
4718 4196.98 504.642 3845.19
4728 4018.62 483.208 3838.91
4738 3422.37 445.054 4031.22
4748 3191.43 421.072 4074.52
4758 3190.4 383.572 3979.02
4768 3399.28 388.71 3878.07
4778 3234.34 561.505 4051.78
4788 3213.63 379.61 4006.21
4798 3575.11 404.034 3904.02
4808 3487.45 393.38 4202.95
4818 3213.77 384.156 4130.36
4828 3244.83 378.19 3965.74
4838 3614.33 441.758 3914.14
4848 3204.17 386.722 4131.93
4858 3259.31 383.702 4039.36
4868 3228.31 379.844 3841.46
4878 3445.13 408.464 3887.65
4888 3457.01 392.026 4110.99
4898 3211.79 375.082 4064.25
4908 3288.27 411.196 4180.75
4918 3256.78 376.188 4045.41
4928 3213.81 380.354 4031.86
4938 3241.37 374.886 3888.79
4948 3253.97 379.856 3934.09
4958 3238.03 376.304 3986.24
4968 3193.37 380.314 4014.97
4978 3343.02 375.902 4054.99
4988 3230.96 381.364 4190.11
4998 3300.63 382.834 4146.99
5008 3213.31 376.168 4205.73
5018 3345.83 424.274 4172.29
5028 3294.53 386.87 4150.34
5038 3335.23 381.514 4150.53
5048 3202.1 379.356 4200.19
5058 3192.41 381.404 4018.36
5068 3278.83 423.856 4003.92
5078 3209.97 389.55 4012.76
5088 3204.6 495.198 3857.77
5098 3647.38 482.78 3825.2
5108 3164.24 499.876 3830.09
5118 3218.86 443.805 3807.99
5128 3495.46 399.238 3974.62
5138 3163.43 405.314 4064.46
5148 3273.74 439.253 3862.52
5158 3156.06 521.939 3883.01
5168 3369.47 383.466 4118.61
5178 3155.37 374.746 4192.44
5188 3176.6 392.444 4123.88
5198 3176.09 382.48 4116.59
5208 3186.93 388.248 4154.88
5218 3229.31 373.93 4230.59
5228 3257.02 386.152 4110.86
5238 3199.04 379.822 4141.8
5248 3246.25 379.57 4078.98
5258 3176.7 370.962 3963.65
5268 3181.74 373.138 4156.89
5278 3174.83 369.294 4148.17
5288 3174.99 371.218 4054.52
5298 3180.76 379.05 4082.36
5308 3180.33 371.758 4069.87
5318 3203.87 375.096 4099.86
5328 3497.23 374.476 4320.29
5338 3288.44 483.65 3941.03
5348 3320.24 399.362 4162.07
5358 3278.33 383.562 4199.89
5368 3190.87 382.128 4052.51
5378 3246.58 389.206 4031.43
5388 3280.39 388.584 4216.14
5398 3261.71 377.014 4394.18
5408 3205.16 377.948 4193.9
5418 3261.11 491.496 4187.13
5428 3364.42 381.776 4077.27
5438 3246.32 382.248 4208.42
5448 3264.46 391.374 4218.68
5458 3436.37 385.78 4022.09
5468 3202.29 560.061 4172.54
5478 3720.66 556.184 4081.35
5488 3411.72 391.306 3868.08
5498 3461.82 385.108 3894.86
5508 3210.26 376.836 4067.94
5518 3563.85 417.432 4162.08
5528 3195.44 375.398 4094.32
5538 3204.88 483.91 3788.14
5548 3383.31 383.596 3827.19
5558 3358.97 495.743 4182.14
5568 3194.55 376.644 4211.55
5578 3186.79 384.282 4013.56
5588 3316.56 377.442 3968.83
5598 3442.08 400.208 4140.32
5608 3302.24 387.034 4323.69
5618 3201.6 375.5 3872.09
5628 3399.48 388.286 4131.94
5638 3413.24 383.242 4004.29
5648 3380.21 396.768 4270.45
5658 3481.56 448.894 4075.42
5668 3362.94 394.806 4119.29
5678 4606.4 503.464 4119.19
5688 4335.41 510.858 4118.03
5698 3367.81 391.808 3977.2
5708 3754.67 409.226 3934.43
5718 4169.85 472.404 3926.2
5728 3998.47 463.038 3880.81
5738 3332.01 494.759 4041.82
5748 3251.19 388.804 4146.77
5758 3227.1 383.606 3876.89
5768 3461.02 417.436 3996.4
5778 3285.76 498.199 4051.94
5788 3910.7 464.708 3983.52
5798 3213.69 390.692 3907.1
5808 3453.7 390.768 3880.68
5818 4607.27 685.574 4086.57
5828 3476.61 397.824 3951.08
5838 3426.17 387.55 4270.24
5848 3243.83 402.64 4379.38
5858 3270.67 382.02 4222.16
5868 3524.99 379.046 4221.67
5878 3380.04 376.43 3952.75
5888 3422.93 388.356 4442.49
5898 3306.82 385.94 4323.6
5908 3214.25 383.992 4128.9
5918 3715.31 393.414 4177.19
5928 3219.43 385.898 4182.99
5938 3218.52 408.94 4142.96
5948 3256.5 379.968 4221.03
5958 3207.26 376.24 4183.75
5968 3215.53 372.542 4094.97
5978 3243.12 372.694 4032.15
5988 3274.1 383.5 4186.45
5998 3201.35 375.552 4021.73
6008 3249.59 375.706 4010
6018 3230.82 376.798 4041.35
6028 3270.33 378.104 3916.25
6038 3227.89 379.48 3902.57
6048 3213.95 377.742 4031.93
6058 3260.86 400.332 3833.15
6068 3233.95 372.258 3824.24
6078 3406.5 376.916 4093.88
6088 3691.2 377.208 3956.16
6098 3236.05 398.342 3863.27
6108 3315.42 420.268 4011.2
6118 3430.8 381.812 4180.49
6128 3410.04 378.26 4218.07
6138 3245.69 384.974 3954.65
6148 3236.14 377.518 4004.14
6158 3327.32 372.422 3955.33
6168 3207.26 521.995 4032.08
6178 3239.48 475.36 3936.44
6188 3433.66 432.634 3959.59
6198 3613.39 397.98 4143.29
6208 3261.66 469.687 3973.57
6218 3510.71 380.296 4327.21
6228 3382.84 380.076 4189.64
6238 3316.51 374.686 3932.17
6248 3401.47 381.59 4124.47
6258 3456.89 406.684 4314.15
6268 3426.5 389.298 3918.7
6278 3678.69 496.96 4067.61
6288 3208.57 510.14 4068.48
6298 3215.87 420.882 3919.38
6308 3357.76 505.304 3782.75
6318 3398.78 395.028 3916.8
6328 3216.55 402.162 3977.55
6338 3292.72 394.958 3720.72
6348 3310.81 433.955 4035.41
6358 3253.47 396.712 4012.72
6368 3297.05 394.858 3852.02
